child_num,hex_id,dns_mapping,info
0,6kgvdnw3nwza,2.6.6.6.6.6.6.6.6.6.6.0.5.2.3.20.h3.seahex.org.,Hex.Camp Hack.md Entry
1,6kgvhnw3nwza,2.6.6.6.6.6.6.6.6.6.6.1.5.2.3.20.h3.seahex.org.
2,6kgvlnw3nwza,2.6.6.6.6.6.6.6.6.6.6.2.5.2.3.20.h3.seahex.org.
3,6kgvpnw3nwza,2.6.6.6.6.6.6.6.6.6.6.3.5.2.3.20.h3.seahex.org.
4,6kgvtnw3nwza,2.6.6.6.6.6.6.6.6.6.6.4.5.2.3.20.h3.seahex.org.
5,6kgvxnw3nwza,2.6.6.6.6.6.6.6.6.6.6.5.5.2.3.20.h3.seahex.org.
6,6kgv3nw3nwza,2.6.6.6.6.6.6.6.6.6.6.6.5.2.3.20.h3.seahex.org.
7,6kgvdnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.0.5.2.3.20.h3.seahex.org.
8,6kgvhnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.1.5.2.3.20.h3.seahex.org.
9,6kgvlnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.2.5.2.3.20.h3.seahex.org.
10,6kgvpnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.3.5.2.3.20.h3.seahex.org.
11,6kgvtnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.4.5.2.3.20.h3.seahex.org.
12,6kgvxnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.5.5.2.3.20.h3.seahex.org.
13,6kgv3nw3nwzq,3.6.6.6.6.6.6.6.6.6.6.6.5.2.3.20.h3.seahex.org.
14,6kgvdnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.0.5.2.3.20.h3.seahex.org.
15,6kgvhnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.1.5.2.3.20.h3.seahex.org.
16,6kgvlnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.2.5.2.3.20.h3.seahex.org.
17,6kgvpnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.3.5.2.3.20.h3.seahex.org.
18,6kgvtnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.4.5.2.3.20.h3.seahex.org.
19,6kgvxnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.5.5.2.3.20.h3.seahex.org.
20,6kgv3nw3nw2a,4.6.6.6.6.6.6.6.6.6.6.6.5.2.3.20.h3.seahex.org.
