hex_id,resolution,description
ikg6w,4,Bowen Island + Horshoe Bay + Gibsons
ikg6c,4,North Vancouver + Stanley Park + Coal Harbour
ikg6s,4,Vancouver + Richmond + Burnaby + Point Roberts
ikg62,4,Surrey
kkg6tpy,5,Boundary Bay
mkgrnty,6,White Rock
mkgrnxy,6,South Surrey
mkgrnvy,6,South Surrey
okgrntq,7,White Rock
okgrnqi,7,White Rock
okgrnqa,7,Peace Arch
okgrnqy,7,South Surrey
okgrnxa,7,South Surrey
okgrnqq,7,South Surrey

