hex_id,resolution,description
ikgrw,4,Victoria and Saanich
ikg42,4,Sooke Lake
kkgrw7y,5,Metchosin
kkgcnpy,5,Sooke
kkgru,5,South Saanich Peninsula
kkgrgpy,5,Island View Beach
kkgrg7y,5,North Saanich and Sidney
kkgrepy,5,South Pender
kkgrfpy,5,Saturna
kkgre,5,Mayne and South Galiano
kkgre7y,5,South Salt Spring
kkg4lpy,5,North Salt Spring and North Galiano





